Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
5200                     9.132970131172074        22668791                 97.95858394027938        157.73735427202837       0.10175734257804517      0.8601199324141351       0                        0                        0.7166688125             0.05                     0.019573659595244264     0.008424250614189076     0.01                     0.2916083343792707       2.5e-06                  0.2037109375             0.3276946                0.97409415               
5600                     9.880230135652754        24431532                 118.65240324294987       249.1237227480729        0.10175734257804517      0.8601199324141351       0                        0                        0.6946395750000001       0.05                     0.017242448499772137     0.00768893384403782      0.01                     0.28419841662049294      2.5e-06                  0.235                    -0.32553518              1.770559                 
6000                     10.636157818900214       26210243                 169.3456966154104        283.0296606083898        0.10175734257804517      0.8601199324141351       0                        0                        0.6724259                0.05                     0.015172765649781846     0.00771076897474225      0.01                     0.30761497966287765      2.5e-06                  0.22472426470588236      0.07262321               0.9715076                
6400                     11.523883551690314       28274462                 181.38321261750767       161.3374251785171        0.10175734257804517      0.8601199324141351       0                        0                        0.6466328                0.05                     0.013079224670355754     0.006131300984998233     0.01                     0.27840486536733805      2.5e-06                  0.2162109375             0.13312724               1.4232378                
6800                     12.73236912548542        31104356                 318.5381601274412        194.87653430818534       0.10175734257804517      0.8601199324141351       0                        0                        0.6112930249999999       0.05                     0.010671674310153678     0.00502375417037852      0.01                     0.2868874073328991       2.5e-06                  0.1484375                0.12620842               0.8155585                
7200                     14.331165211862988       34854112                 338.92224323880475       149.10507022010466       0.10175734257804517      0.8601199324141351       0                        0                        0.5644365375             0.05                     0.008148756561523243     0.00450665694653354      0.01                     0.2915850315605186       2.5e-06                  0.18695746527777776      0.009651767              0.9186233                
7600                     15.97068551381429        38684034                 401.9510308851859        223.20241238767753       0.10175734257804517      0.8601199324141351       0                        0                        0.516569975              0.05                     0.006186213971553714     0.0032123984461864706    0.01                     0.29021394502763687      2.5e-06                  0.14854029605263158      0.16227515               0.6943368                
8000                     17.61852723499139        42512023                 386.6650159724284        189.61430779108866       0.10175734257804517      0.8601199324141351       0                        0                        0.46871716250000006      0.05                     0.0046967009255365995    0.0032718284346628934    0.01                     0.2859739698973056       2.5e-06                  0.16934121621621623      -0.41280663              1.2616516                
8400                     19.27767872956064        46341781                 391.0899420020884        148.947168688606         0.10175734257804517      0.8601199324141351       0                        0                        0.420843275              0.05                     0.00356539940358649      0.0022942925419605718    0.01                     0.28309518018284363      2.5e-06                  0.13872466216216217      -0.010538858             0.57306296               
8800                     20.957390705347063       50178422                 404.4347875070089        132.77635543536826       0.10175734257804517      0.8601199324141351       0                        0                        0.3728879125             0.05                     0.00270532708918215      0.0020722754009487266    0.01                     0.27691772610351845      2.5e-06                  0.14738175675675674      -0.5117739               0.86205477               
9200                     22.63552450332377        54011057                 400.47426646153605       137.6447799147815        0.10175734257804517      0.8601199324141351       0                        0                        0.32497762500000005      0.05                     0.0020532605477136777    0.0022494459579418713    0.01                     0.2815104599387662       2.5e-06                  0.1805320945945946       -0.665199                1.5225519                
9600                     24.31865803235107        57848277                 429.1604804603638        132.71385946486248       0.10175734257804517      0.8601199324141351       0                        0                        0.2770169375             0.05                     0.0015579099237808243    0.0015165598028225329    0.01                     0.2806696472444425       2.5e-06                  0.142578125              -0.012925975             0.5320405                
