Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Exp_Temp                 Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0019647561179267034    4354                     5.215331525571065        5.189545271742512        0.034354584370565454     0.987427684144406        0                        0                        0.99995225               0.05                     0.09997251666781225      0.1382777610560879       0.01                     0.3866370354080573       2.5e-06                  0.614501953125           -7.718618                3.7682948                
400                      0.6646291732788085       1739191                  12.077550369218248       31.33648673557532        0.0804273058818876       0.7866206667314509       0                        0                        0.9782669125             0.05                     0.08824036203069019      0.0022547737495415276    0.01                     0.3025862271315418       2.5e-06                  0.114501953125           -0.06971187              0.6163026                
800                      1.3312406587600707       3485703                  12.831222428548989       37.79431301463465        0.0804273058818876       0.7866206667314509       0                        0                        0.9564355124999999       0.049999999999999996     0.07781956184958483      0.0017713966965402506    0.01                     0.2881209079641849       2.5e-06                  0.1142578125             -0.06275345              0.63097066               
1200                     2.0028933247592713       5233847                  13.352271878202473       38.3802429348721         0.0804273058818876       0.7866206667314509       0                        0                        0.9345837125             0.05                     0.06862135371210426      0.0013705519087352513    0.01                     0.28378253808477893      2.5e-06                  0.08544921875            -0.25261432              0.66888833               
1600                     2.682926665676965        6994503                  13.415216079257059       46.22136963521366        0.0804273058818876       0.7866206667314509       0                        0                        0.9125755124999999       0.049999999999999996     0.06045591258487753      0.0008931119223802853    0.01                     0.2877102293423377       2.5e-06                  0.1259765625             -0.07201804              0.43453956               
2000                     3.3832968029048707       8785623                  13.369007465414274       50.73323363831234        0.0804273058818876       0.7866206667314509       0                        0                        0.8901865125             0.05                     0.05314547356044168      0.0008468445250855439    0.01                     0.2988669272745028       2.5e-06                  0.149169921875           0.06769997               0.49383053               
2400                     4.098026131987572        10587511                 14.373668852403247       68.33848622968813        0.0804273058818876       0.7866206667314509       0                        0                        0.8676633125000001       0.05000000000000001      0.04668294881437476      0.0007596677081664893    0.01                     0.2842601338052191       2.5e-06                  0.145751953125           0.04745467               0.34426758               
2800                     4.803918979234165        12362023                 15.189948879938076       56.74427319493121        0.0804273058818876       0.7866206667314509       0                        0                        0.8454785125             0.05                     0.041086228888929946     0.000674690308130721     0.01                     0.2984588459949009       2.5e-06                  0.16064453125            -0.08580694              0.49984044               
3200                     5.502639531625642        14092039                 16.314954178769188       57.39802760869506        0.0804273058818876       0.7866206667314509       0                        0                        0.8238535125             0.05                     0.0362772018311228       0.0007746486857342916    0.01                     0.2847865283838473       2.5e-06                  0.10986328125            0.10264195               0.28439787               
3600                     6.232074992259343        15884663                 18.702785212754016       69.0622910802741         0.0804273058818876       0.7866206667314509       0                        0                        0.8014509125             0.05                     0.03188799999218669      0.0010525100943221547    0.01                     0.29278384444906436      2.5e-06                  0.15647977941176472      0.058519702              0.3479614                
